Body,Department,Sentimentvalue,Sentiment_category,Criticality
"Forwarded message 
FromPadmapriya c cpadmapriyacom mailtocpadmapriyacom 
Date SatDec
Subject Re CVLKRA KYC Alert ReferenceIdxxxx
To gogreencvlcom mailtogogreencvlcomcvlhelpdeskcom mailtocvlhelpdeskcom 



Hi
I am CPadmaPriya I am not using this account at all So please check my account 
Please let me know the procedure on how to close this account

Regards
Padma",Miscellaneous,1.15,Positive,Priority 1
"Forwarded message 
FromPadmapriya c cpadmapriyacom mailtocpadmapriyacom 
Date TueMar
Subject Request to Close my MIS and RD accounts
To thillainatpallisogovin mailtothillainatpallisogovin 



Respected Sir
My Name is Padmapriya C I hold one recurring deposit and one MIS deposit in Thillai Nagar Post Office xxx branch As these two accounts are maturing on xxth Febplease close these accounts and credit it to my savings accountAccount Noxxxx


Please find my account details below

 Recurring Deposit Account Number
Date of Maturityxx Feb 

 MIS Account Numberxxxx
Date of Maturityxx Feb 

Kindly hand over the passbooks to Mrs RMMeenal Phone Noxxxx

Regards

Padma Priya
Mobilexxxx",Account Related,3.65,Positive,Priority 3
"I am locked out of my internet banking accountPlease fix it as soon as possible or let me know any information required


account number

Thanks
Mani",Miscellaneous,1,Neutral,Priority 2
"sir
This is my account number xxxxxx and my ATM card number is xxxxxMy atm pin has been disabledKindly activate my pin number

with regards
arun",Cards Section,0.25,Negative,Highly critical
"Hello mamsir
MY credit card numberis not working and I get a message in my inbox telling that it has been blockedKindly see to it and do the needful 
My accnt number
My mobile number

Regs
Nirmala",Cards Section,0.65,Negative,Critical
"Hi Sir

I would like to invest money in one of your mutual funds Could you please send me the list of mutual fund scheme which would invest direct to USA markets and also send me minimum Sip amount to invest 

Thanks 
Mani",Miscellaneous,3.55,Positive,Priority 3
"Hi SirMadam


I am a nonresident Indian living in Singapore I would like to opt for home loan in India What would be the maximum loan tenure period you can offer

Thanks 
Mani",Loan related,1.2,Positive,Priority 1
"Hi Sir

I took a home loan few months back and servicing EMIs periodically Now I am thinking to do further extension to my house and would like to avail topup oflakhs to my existing loan Please let me know Is it possible or I need to avail a new loan for that

Existing loan number x xxxxxx

Please feel free to contact me

Thanks 
Mani",Loan related,4.05,Positive,Priority 3
"Hi Sir

I took personal loan three years back Loan reference numberxxxxxx

I have paid off my loan last month and still havent got any loan confirmation letter from your side I need it urgent and no response from your side over call

Let me know if you any more information and reply back as soon as you can 

Thanks 
Mani",Loan related,0.5,Negative,Critical
"Hi SirMadam

I am writing this letter to apply for personal loan from your bank Please let me know the procedure and the documents need to sanction the loan

Thanks 
Mani",Loan related,1.75,Positive,Priority 1
"Hi SirMadam

I am a nonresident Indian living in Singapore I would like to opt for home loan in India What would be the maximum loan tenure period you can offer

Thanks 
Mani",Loan related,1.2,Positive,Priority 1
"Hi

May I know my lasttransaction details of my account And also I want a cheque book to my accountSo let me know the procedure for it



Thanks",Miscellaneous,1,Neutral,Priority 2
"Hello mam
I received my credit card 
But I didnt know how to get the pin number to use it Kindly help me to get my pin number 

Regards
NAnanthi",Cards Section,1.5,Positive,Priority 1
"Good Morning SirMam 
My account number isI do not have a atm card Now i need a one so I request you to do give a ATM card for my given account number This is my address 
No st street Ss nagarTrichy 

ThanksDeepa",Cards Section,0.75,Neutral,Critical
"Hello 

Recently I have made a purchase in one of the Lifestyle showrooms and I noticed that my payment for the purchase has been deducted twice even though I only entered my PIN number once and the store informed me that it would be credited back withindays although I have not yet received it I wanted to check this with the Bank

Thanks
Woncy


Sent from my iPhone",Miscellaneous,1.75,Positive,Priority 1
"Hello 

Recently I have made a purchase in one of the Lifestyle showrooms and I noticed that my payment for the purchase has been deducted twice even though I only entered my PIN number once and the store informed me that it would be credited back withindays although I have not yet received it I wanted to check this with the Bank

Regards
Viddushi Sharma",Miscellaneous,1.15,Positive,Priority 1
"Hello 

I have an account with your bank and credit card as well for the pastyears and have been paying my bills regularly but I wanted to check what are the general rules applicable to increase my credit card limit as I am in dire need of an increase in the limit to meet my monthly purchases

 

Thanks
Valli Mohan",Cards Section,1.45,Positive,Priority 1
"Hello

Recently I have made a purchase in one of the Lifestyle showrooms and I noticed that my payment for the purchase has been deducted twice even though I only entered my PIN number once and the store informed me that it would be credited back withindays although I have not yet received it I wanted to check this with the bank

 

Thanks
Valli Mohan",Miscellaneous,1.75,Positive,Priority 1
"Hello mamsir

My credit card numberis not working and I get a message in my inbox telling that it has been blockedKindly see to it and do the needful accnt number

My mobile number

Regs 
Nirmala",Cards Section,0.65,Negative,Critical
"Hi Sir

I took personal loan three years back Loan reference numberxxxxxx
I have paid off my loan last month and still havent got any loan confirmation letter from your side I need it urgent and no response from your side over call
Let me know if you any more information and reply back as soon as you can 

Thanks 
Mani",Loan related,0.5,Negative,Critical
"Hello mamsir

My credit card numberis not working and I get a message in my inbox telling that it has been blockedKindly see to it and do the needful accnt number

My mobile number

Regs 
Nirmala",Cards Section,0.65,Negative,Critical
"Hello 

I have an account with your bank and credit card as well for the pastyears and have been paying my bills regularly but I wanted to check what are the general rules applicable to increase my credit card limit as I am in dire need of an increase in the limit to meet my monthly purchases

Regards
Thoja",Cards Section,0.85,Neutral,Critical
"Hello 

I have an account with your bank and credit card as well for the pastyears and have been paying my bills regularly but I wanted to check what are the general rules applicable to increase my credit card limit as I am in dire need of an increase in the limit to meet my monthly purchases

Regards
Thoja",Cards Section,0.85,Neutral,Critical
"Hello mamsir

My credit card numberis not working and I get a message in my inbox telling that it has been blockedKindly see to it and do the needful accnt number

My mobile number

Regs 
Nirmala",Cards Section,0.65,Negative,Critical
"Hello mamsir

My credit card numberis not working and I get a message in my inbox telling that it has been blockedKindly see to it and do the needful accnt number

My mobile number

Regs 
Nirmala",Cards Section,0.65,Negative,Critical
